0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
38,A3535221F,"Current Prices ;  Textiles, clothing and footwear",$ Millions,Seasonally Adjusted,3
39,A3535222J,"Current Prices ;  Toys, books and leisure goods",$ Millions,Seasonally Adjusted,3
40,A3535223K,Current Prices ;  Consumption goods n.e.s.,$ Millions,Seasonally Adjusted,3
41,A3535224L,Current Prices ;  Capital goods,$ Millions,Seasonally Adjusted,3
42,A3535225R,Current Prices ;  Machinery and industrial equipment,$ Millions,Seasonally Adjusted,3
43,A3535226T,Current Prices ;  ADP equipment,$ Millions,Seasonally Adjusted,3
44,A3535227V,Current Prices ;  Telecommunications equipment,$ Millions,Seasonally Adjusted,3
45,A3535228W,Current Prices ;  Civil aircraft and confidentialised items,$ Millions,Seasonally Adjusted,3
46,A3535229X,Current Prices ;  Industrial transport equipment n.e.s.,$ Millions,Seasonally Adjusted,3
47,A3535230J,Current Prices ;  Capital goods n.e.s.,$ Millions,Seasonally Adjusted,3
48,A3535231K,Current Prices ;  Intermediate and other merchandise goods,$ Millions,Seasonally Adjusted,3
49,A3535232L,"Current Prices ;  Food and beverages, mainly for industry",$ Millions,Seasonally Adjusted,3
50,A3535233R,Current Prices ;  Primary industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
51,A3535234T,Current Prices ;  Fuels and lubricants,$ Millions,Seasonally Adjusted,3
52,A3535235V,Current Prices ;  Parts for transport equipment,$ Millions,Seasonally Adjusted,3
53,A3535236W,Current Prices ;  Parts for ADP equipment,$ Millions,Seasonally Adjusted,3
54,A3535237X,Current Prices ;  Other parts for capital goods,$ Millions,Seasonally Adjusted,3
55,A3535238A,Current Prices ;  Organic and inorganic chemicals,$ Millions,Seasonally Adjusted,3
56,A3535239C,Current Prices ;  Paper and paperboard,$ Millions,Seasonally Adjusted,3
57,A3535240L,Current Prices ;  Textile yarn and fabrics,$ Millions,Seasonally Adjusted,3
58,A3535241R,Current Prices ;  Iron and steel,$ Millions,Seasonally Adjusted,3
59,A3535242T,Current Prices ;  Plastics,$ Millions,Seasonally Adjusted,3
60,A3535243V,Current Prices ;  Processed industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
61,A3535244W,Current Prices ;  Other merchandise goods,$ Millions,Seasonally Adjusted,3
62,A3535245X,Current Prices ;  Goods procured in ports by carriers,$ Millions,Seasonally Adjusted,3
63,A3535246A,Current Prices ;  Non-monetary gold,$ Millions,Seasonally Adjusted,3
64,A3535061F,Chain Volume Measures ;  Total goods debits,$ Millions,Seasonally Adjusted,3
65,A3535062J,Chain Volume Measures ;  General merchandise,$ Millions,Seasonally Adjusted,3
66,A3535063K,Chain Volume Measures ;  Consumption goods,$ Millions,Seasonally Adjusted,3
67,A3535064L,"Chain Volume Measures ;  Food and beverages, mainly for consumption",$ Millions,Seasonally Adjusted,3
68,A3535065R,Chain Volume Measures ;  Household electrical items,$ Millions,Seasonally Adjusted,3
69,A3535066T,Chain Volume Measures ;  Non-industrial transport equipment,$ Millions,Seasonally Adjusted,3
70,A3535067V,"Chain Volume Measures ;  Textiles, clothing and footwear",$ Millions,Seasonally Adjusted,3
71,A3535068W,"Chain Volume Measures ;  Toys, books and leisure goods",$ Millions,Seasonally Adjusted,3
72,A3535069X,Chain Volume Measures ;  Consumption goods n.e.s.,$ Millions,Seasonally Adjusted,3
73,A3535070J,Chain Volume Measures ;  Capital goods,$ Millions,Seasonally Adjusted,3
74,A3535071K,Chain Volume Measures ;  Machinery and industrial equipment,$ Millions,Seasonally Adjusted,3
75,A3535072L,Chain Volume Measures ;  ADP equipment,$ Millions,Seasonally Adjusted,3
76,A3535073R,Chain Volume Measures ;  Telecommunications equipment,$ Millions,Seasonally Adjusted,3
77,A3535074T,Chain Volume Measures ;  Civil aircraft and confidentialised items,$ Millions,Seasonally Adjusted,3
78,A3535075V,Chain Volume Measures ;  Industrial transport equipment n.e.s.,$ Millions,Seasonally Adjusted,3
79,A3535076W,Chain Volume Measures ;  Capital goods n.e.s.,$ Millions,Seasonally Adjusted,3
80,A3535077X,Chain Volume Measures ;  Intermediate and other merchandise goods,$ Millions,Seasonally Adjusted,3
81,A3535078A,"Chain Volume Measures ;  Food and beverages, mainly for industry",$ Millions,Seasonally Adjusted,3
82,A3535079C,Chain Volume Measures ;  Primary industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
83,A3535080L,Chain Volume Measures ;  Fuels and lubricants,$ Millions,Seasonally Adjusted,3
84,A3535081R,Chain Volume Measures ;  Parts for transport equipment,$ Millions,Seasonally Adjusted,3
85,A3535082T,Chain Volume Measures ;  Parts for ADP equipment,$ Millions,Seasonally Adjusted,3
86,A3535083V,Chain Volume Measures ;  Other parts for capital goods,$ Millions,Seasonally Adjusted,3
87,A3535084W,Chain Volume Measures ;  Organic and inorganic chemicals,$ Millions,Seasonally Adjusted,3
88,A3535085X,Chain Volume Measures ;  Paper and paperboard,$ Millions,Seasonally Adjusted,3
89,A3535086A,Chain Volume Measures ;  Textile yarn and fabrics,$ Millions,Seasonally Adjusted,3
90,A3535087C,Chain Volume Measures ;  Iron and steel,$ Millions,Seasonally Adjusted,3
91,A3535088F,Chain Volume Measures ;  Plastics,$ Millions,Seasonally Adjusted,3
92,A3535089J,Chain Volume Measures ;  Processed industrial supplies n.e.s.,$ Millions,Seasonally Adjusted,3
93,A3535090T,Chain Volume Measures ;  Other merchandise goods,$ Millions,Seasonally Adjusted,3
94,A3535091V,Chain Volume Measures ;  Goods procured in ports by carriers,$ Millions,Seasonally Adjusted,3
95,A3535092W,Chain Volume Measures ;  Non-monetary gold,$ Millions,Seasonally Adjusted,3
96,A3534913A,Implicit Price Deflators ;  Total goods debits,Index Numbers,Seasonally Adjusted,3
97,A3534914C,Implicit Price Deflators ;  General merchandise,Index Numbers,Seasonally Adjusted,3
98,A3534915F,Implicit Price Deflators ;  Consumption goods,Index Numbers,Seasonally Adjusted,3
99,A3534916J,"Implicit Price Deflators ;  Food and beverages, mainly for consumption",Index Numbers,Seasonally Adjusted,3
100,A3534917K,Implicit Price Deflators ;  Household electrical items,Index Numbers,Seasonally Adjusted,3
101,A3534918L,Implicit Price Deflators ;  Non-industrial transport equipment,Index Numbers,Seasonally Adjusted,3
102,A3534919R,"Implicit Price Deflators ;  Textiles, clothing and footwear",Index Numbers,Seasonally Adjusted,3
103,A3534920X,"Implicit Price Deflators ;  Toys, books and leisure goods",Index Numbers,Seasonally Adjusted,3
104,A3534921A,Implicit Price Deflators ;  Consumption goods n.e.s.,Index Numbers,Seasonally Adjusted,3
105,A3534922C,Implicit Price Deflators ;  Capital goods,Index Numbers,Seasonally Adjusted,3
106,A3534923F,Implicit Price Deflators ;  Machinery and industrial equipment,Index Numbers,Seasonally Adjusted,3
107,A3534924J,Implicit Price Deflators ;  ADP equipment,Index Numbers,Seasonally Adjusted,3
108,A3534925K,Implicit Price Deflators ;  Telecommunications equipment,Index Numbers,Seasonally Adjusted,3
109,A3534926L,Implicit Price Deflators ;  Civil aircraft and confidentialised items,Index Numbers,Seasonally Adjusted,3
110,A3534927R,Implicit Price Deflators ;  Industrial transport equipment n.e.s.,Index Numbers,Seasonally Adjusted,3
111,A3534928T,Implicit Price Deflators ;  Capital goods n.e.s.,Index Numbers,Seasonally Adjusted,3
112,A3534929V,Implicit Price Deflators ;  Intermediate and other merchandise goods,Index Numbers,Seasonally Adjusted,3
113,A3534930C,"Implicit Price Deflators ;  Food and beverages, mainly for industry",Index Numbers,Seasonally Adjusted,3
114,A3534931F,Implicit Price Deflators ;  Primary industrial supplies n.e.s.,Index Numbers,Seasonally Adjusted,3
115,A3534932J,Implicit Price Deflators ;  Fuels and lubricants,Index Numbers,Seasonally Adjusted,3
116,A3534933K,Implicit Price Deflators ;  Parts for transport equipment,Index Numbers,Seasonally Adjusted,3
117,A3534934L,Implicit Price Deflators ;  Parts for ADP equipment,Index Numbers,Seasonally Adjusted,3
118,A3534935R,Implicit Price Deflators ;  Other parts for capital goods,Index Numbers,Seasonally Adjusted,3
119,A3534936T,Implicit Price Deflators ;  Organic and inorganic chemicals,Index Numbers,Seasonally Adjusted,3
120,A3534937V,Implicit Price Deflators ;  Paper and paperboard,Index Numbers,Seasonally Adjusted,3
121,A3534938W,Implicit Price Deflators ;  Textile yarn and fabrics,Index Numbers,Seasonally Adjusted,3
122,A3534939X,Implicit Price Deflators ;  Iron and steel,Index Numbers,Seasonally Adjusted,3
123,A3534940J,Implicit Price Deflators ;  Plastics,Index Numbers,Seasonally Adjusted,3
124,A3534941K,Implicit Price Deflators ;  Processed industrial supplies n.e.s.,Index Numbers,Seasonally Adjusted,3
125,A3534942L,Implicit Price Deflators ;  Other merchandise goods,Index Numbers,Seasonally Adjusted,3
126,A3534943R,Implicit Price Deflators ;  Goods procured in ports by carriers,Index Numbers,Seasonally Adjusted,3
127,A3534944T,Implicit Price Deflators ;  Non-monetary gold,Index Numbers,Seasonally Adjusted,3
128,A3533815C,Current Prices ;  Services,$ Millions,Original,3
129,A3533853T,Current Prices ;  Manufacturing services on physical inputs owned by others,$ Millions,Original,3
130,A3534025C,Current Prices ;  Maintenance and repair services n.i.e.,$ Millions,Original,3
131,A3533816F,Current Prices ;  Transport,$ Millions,Original,3
132,A3533791W,Current Prices ;  Passenger transport,$ Millions,Original,3
133,A3533904F,Current Prices ;  Freight transport,$ Millions,Original,3
134,A3533733X,Current Prices ;  Other transport,$ Millions,Original,3
135,A3533755L,Current Prices ;  Postal and courier transport,$ Millions,Original,3
136,A3533854V,Current Prices ;  Travel,$ Millions,Original,3
137,A3533930K,Current Prices ;  Business travel,$ Millions,Original,3
138,A3533688X,Current Prices ;  Personal travel,$ Millions,Original,3
139,A3533756R,Current Prices ;  Education-related personal travel,$ Millions,Original,3
140,A3534008A,Current Prices ;  Other personal travel,$ Millions,Original,3
141,A3533879R,Current Prices ;  Construction,$ Millions,Original,3
142,A3533835L,Current Prices ;  Insurance and pension services,$ Millions,Original,3
143,A3534026F,Current Prices ;  Insurance and pension services - Direct insurance,$ Millions,Original,3
144,A3533817J,"Current Prices ;  Insurance and pension services - Direct insurance, Freight",$ Millions,Original,3
145,A3533984T,"Current Prices ;  Insurance and pension services - Direct insurance, Life",$ Millions,Original,3
146,A3533855W,"Current Prices ;  Insurance and pension services - Direct insurance, Other",$ Millions,Original,3
147,A3533707V,Current Prices ;  Insurance and pension services - Reinsurance,$ Millions,Original,3
148,A3533880X,Current Prices ;  Insurance and pension services - Auxiliary services,$ Millions,Original,3
149,A3533931L,Current Prices ;  Insurance and pension services - Pension services,$ Millions,Original,3
150,A3533881A,Current Prices ;  Insurance and pension services - Standardised guarantee services,$ Millions,Original,3
151,A3533757T,Current Prices ;  Financial services,$ Millions,Original,3
152,A3533689A,Current Prices ;  Financial services - Explicitly charged and other financial services,$ Millions,Original,3
153,A3533774V,Current Prices ;  Financial services - Financial Intermediation Services Indirectly Measured,$ Millions,Original,3
154,A3533818K,Current Prices ;  Charges for the use of intellectual property n.i.e.,$ Millions,Original,3
155,A3533708W,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services,$ Millions,Original,3
156,A3533690K,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Software",$ Millions,Original,3
157,A3533734A,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Hardware and design",$ Millions,Original,3
158,A3533735C,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute audiovisual and related services,$ Millions,Original,3
159,A3533905J,Current Prices ;  Charges for the use of intellectual property n.i.e. - Outcomes of research and development,$ Millions,Original,3
160,A3533709X,Current Prices ;  Charges for the use of intellectual property n.i.e. - Franchise and trademarks licensing fees,$ Millions,Original,3
161,A3534027J,Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges,$ Millions,Original,3
162,A3533691L,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on education",$ Millions,Original,3
163,A3533775W,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on telecommunication services",$ Millions,Original,3
164,A3533710J,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Music",$ Millions,Original,3
165,A3533882C,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Other",$ Millions,Original,3
166,A3533932R,"Current Prices ;  Telecommunications, computer and information services",$ Millions,Original,3
167,A3534028K,"Current Prices ;  Telecommunications, computer and information services - Telecommunication",$ Millions,Original,3
168,A3533933T,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Telephone",$ Millions,Original,3
169,A3534009C,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Other",$ Millions,Original,3
170,A3533836R,"Current Prices ;  Telecommunications, computer and information services - Computer and information services",$ Millions,Original,3
171,A3534029L,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer",$ Millions,Original,3
172,A3534030W,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Hardware and software consultancy",$ Millions,Original,3
173,A3533883F,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Data processing",$ Millions,Original,3
174,A3534031X,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services",$ Millions,Original,3
175,A3533736F,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Database",$ Millions,Original,3
176,A3533985V,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Newsagency subscription",$ Millions,Original,3
177,A3533711K,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Other computer and information services",$ Millions,Original,3
178,A3533792X,Current Prices ;  Other business services,$ Millions,Original,3
179,A3533986W,Current Prices ;  Other business services - Research and development services,$ Millions,Original,3
180,A3533692R,Current Prices ;  Other business services - Professional and management consulting services,$ Millions,Original,3
181,A3533793A,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional services",$ Millions,Original,3
182,A3533884J,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Legal",$ Millions,Original,3
183,A3533987X,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Accounting and auditing",$ Millions,Original,3
184,A3533837T,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Business and management consultancy",$ Millions,Original,3
185,A3533934V,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Other professional services",$ Millions,Original,3
186,A3533712L,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Management fees n.i.e.",$ Millions,Original,3
187,A3533988A,"Current Prices ;  Other business services - Professional and management consulting services, Advertising, market research and public opinion polling services",$ Millions,Original,3
188,A3534010L,"Current Prices ;  Other business services - Technical, trade-related and other business services",$ Millions,Original,3
189,A3533776X,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services",$ Millions,Original,3
190,A3533794C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Architectural",$ Millions,Original,3
191,A3533885K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Engineering",$ Millions,Original,3
192,A3533856X,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Surveying services",$ Millions,Original,3
193,A3534011R,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Scientific and other technical services",$ Millions,Original,3
194,A3533886L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services",$ Millions,Original,3
195,A3533989C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Waste treatment and de-pollution",$ Millions,Original,3
196,A3533758V,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to agriculture; forestry and fishing",$ Millions,Original,3
197,A3534032A,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to mining; oil and gas extraction",$ Millions,Original,3
198,A3533857A,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Other on-site processing services",$ Millions,Original,3
199,A3533819L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services",$ Millions,Original,3
200,A3533713R,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Air operational leasing services",$ Millions,Original,3
201,A3533858C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Sea operational leasing services",$ Millions,Original,3
202,A3533964J,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Other operational leasing services",$ Millions,Original,3
203,A3533965K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Trade-related commission services",$ Millions,Original,3
204,A3533935W,"Current Prices ;  Other business services - Technical, trade-related and other business services, Other business services n.i.e.",$ Millions,Original,3
205,A3533906K,"Current Prices ;  Personal, cultural and recreational services",$ Millions,Original,3
206,A3534033C,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services",$ Millions,Original,3
207,A3533820W,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual",$ Millions,Original,3
208,A3533737J,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Film",$ Millions,Original,3
209,A3533907L,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Television",$ Millions,Original,3
210,A3533738K,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Home entertainment royalties",$ Millions,Original,3
211,A3533777A,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other audiovisual royalties",$ Millions,Original,3
212,A3533887R,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other film, TV and multimedia royalties",$ Millions,Original,3
213,A3534034F,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other audiovisual n.i.e.",$ Millions,Original,3
214,A3534035J,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services",$ Millions,Original,3
215,A3534012T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Health",$ Millions,Original,3
216,A3533990L,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services",$ Millions,Original,3
217,A3533759W,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Consultancy services",$ Millions,Original,3
218,A3533821X,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Correspondence courses",$ Millions,Original,3
219,A3533888T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Services through educational institutions",$ Millions,Original,3
220,A3533991R,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Other educational services",$ Millions,Original,3
221,A3533693T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational",$ Millions,Original,3
222,A3534036K,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Sporting and entertainment services",$ Millions,Original,3
223,A3533966L,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Off-shore gambling services",$ Millions,Original,3
224,A3533778C,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Other recreational n.i.e.",$ Millions,Original,3
225,A3533760F,Current Prices ;  Government goods and services n.i.e.,$ Millions,Original,3
226,A3533859F,Current Prices ;  Government goods and services n.i.e. - Embassies & consulates,$ Millions,Original,3
227,A3533967R,"Current Prices ;  Government goods and services n.i.e. - Embassies & consulates, Missions expenditure",$ Millions,Original,3
228,A3533795F,"Current Prices ;  Government goods and services n.i.e. - Embassies & consulates, Employees expenditure",$ Millions,Original,3
229,A3533761J,Current Prices ;  Government goods and services n.i.e. - Military units & agencies,$ Millions,Original,3
230,A3533694V,Current Prices ;  Government goods and services n.i.e. - Other,$ Millions,Original,3
231,A3534013V,Current Prices ;  Gross inward insurance premiums receivable,$ Millions,Original,3
232,A3533838V,Current Prices ;  Gross inward insurance claims payable,$ Millions,Original,3
233,A3533695W,Current Prices ;  Tourism related services,$ Millions,Original,3
234,A3535247C,Current Prices ;  Services credits,$ Millions,Seasonally Adjusted,3
235,A3535248F,"Current Prices ;  Services credits, Manufacturing services on physical inputs owned by others",$ Millions,Seasonally Adjusted,3
236,A3535249J,"Current Prices ;  Services credits, Maintenance and repair services n.i.e.",$ Millions,Seasonally Adjusted,3
237,A3535250T,"Current Prices ;  Services credits, Transport",$ Millions,Seasonally Adjusted,3
238,A3535251V,"Current Prices ;  Services credits, Passenger transport",$ Millions,Seasonally Adjusted,3
239,A3535252W,"Current Prices ;  Services credits, Freight transport",$ Millions,Seasonally Adjusted,3
240,A3535253X,"Current Prices ;  Services credits, Other transport",$ Millions,Seasonally Adjusted,3
241,A3535254A,"Current Prices ;  Services credits, Postal and courier transport",$ Millions,Seasonally Adjusted,3
242,A3535255C,"Current Prices ;  Services credits, Travel",$ Millions,Seasonally Adjusted,3
243,A3535256F,"Current Prices ;  Services credits, Other services",$ Millions,Seasonally Adjusted,3
244,A3536676V,Current Prices ;  Tourism related services credits,$ Millions,Seasonally Adjusted,3
245,A3535333X,Current Prices ;  Services credits,$ Millions,Trend,3
246,A3535334A,"Current Prices ;  Services credits, Manufacturing services on physical inputs owned by others",$ Millions,Trend,3
247,A3535335C,"Current Prices ;  Services credits, Maintenance and repair services n.i.e.",$ Millions,Trend,3
248,A3535336F,"Current Prices ;  Services credits, Transport",$ Millions,Trend,3
249,A3535337J,"Current Prices ;  Services credits, Passenger transport",$ Millions,Trend,3
250,A3535338K,"Current Prices ;  Services credits, Freight transport",$ Millions,Trend,3
251,A3535339L,"Current Prices ;  Services credits, Other transport",$ Millions,Trend,3
252,A3535340W,"Current Prices ;  Services credits, Postal and courier transport",$ Millions,Trend,3
253,A3535341X,"Current Prices ;  Services credits, Travel",$ Millions,Trend,3
254,A3535342A,"Current Prices ;  Services credits, Other services",$ Millions,Trend,3
255,A3536677W,Current Prices ;  Tourism related services credits,$ Millions,Trend,3
256,A3534842C,Chain Volume Measures ;  Services,$ Millions,Original,3
257,A3534843F,Chain Volume Measures ;  Manufacturing services on physical inputs owned by others,$ Millions,Original,3
258,A3534844J,Chain Volume Measures ;  Maintenance and repair services n.i.e.,$ Millions,Original,3
259,A3534845K,Chain Volume Measures ;  Transport,$ Millions,Original,3
260,A3534846L,Chain Volume Measures ;  Passenger transport,$ Millions,Original,3
261,A3534847R,Chain Volume Measures ;  Freight transport,$ Millions,Original,3
262,A3534848T,Chain Volume Measures ;  Other transport,$ Millions,Original,3
263,A3534849V,Chain Volume Measures ;  Postal and courier transport,$ Millions,Original,3
264,A3534850C,Chain Volume Measures ;  Travel,$ Millions,Original,3
265,A3534855R,Chain Volume Measures ;  Other services,$ Millions,Original,3
266,A3535093X,Chain Volume Measures ;  Services,$ Millions,Seasonally Adjusted,3
267,A3535094A,Chain Volume Measures ;  Manufacturing services on physical inputs owned by others,$ Millions,Seasonally Adjusted,3
268,A3535095C,Chain Volume Measures ;  Maintenance and repair services n.i.e.,$ Millions,Seasonally Adjusted,3
269,A3535096F,Chain Volume Measures ;  Transport,$ Millions,Seasonally Adjusted,3
270,A3535097J,Chain Volume Measures ;  Passenger transport,$ Millions,Seasonally Adjusted,3
271,A3535098K,Chain Volume Measures ;  Freight transport,$ Millions,Seasonally Adjusted,3
272,A3535099L,Chain Volume Measures ;  Other transport,$ Millions,Seasonally Adjusted,3
273,A3535100K,Chain Volume Measures ;  Postal and courier transport,$ Millions,Seasonally Adjusted,3
274,A3535101L,Chain Volume Measures ;  Travel,$ Millions,Seasonally Adjusted,3
275,A3535102R,Chain Volume Measures ;  Other services,$ Millions,Seasonally Adjusted,3
276,A3534725T,Implicit Price Deflators ;  Services,Index Numbers,Original,3
277,A3534726V,Implicit Price Deflators ;  Manufacturing services on physical inputs owned by others,Index Numbers,Original,3
278,A3534727W,Implicit Price Deflators ;  Maintenance and repair services n.i.e.,Index Numbers,Original,3
279,A3534728X,Implicit Price Deflators ;  Transport,Index Numbers,Original,3
280,A3534729A,Implicit Price Deflators ;  Passenger transport,Index Numbers,Original,3
281,A3534730K,Implicit Price Deflators ;  Freight transport,Index Numbers,Original,3
282,A3534731L,Implicit Price Deflators ;  Other transport,Index Numbers,Original,3
